MEDICARE_SPECIALTY_CODE,MEDICARE_PROVIDER_SUPPLIER_TYPE_DESCRIPTION,PROVIDER_TAXONOMY_CODE,PROVIDER_TAXONOMY_DESCRIPTION
50,Nurse Practitioner,363LA2100X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Acute Care"
50,Nurse Practitioner,363LA2200X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Adult Health"
50,Nurse Practitioner,363LC1500X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Community Health"
50,Nurse Practitioner,363LC0200X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Critical Care Medicine"
50,Nurse Practitioner,363LF0000X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Family"
50,Nurse Practitioner,363LG0600X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Gerontology"
50,Nurse Practitioner,363LN0000X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Neonatal"
50,Nurse Practitioner,363LN0005X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Neonatal, Critical Care"
50,Nurse Practitioner,363LX0001X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Obstetrics & Gynecology"
50,Nurse Practitioner,363LX0106X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Occupational Health"
50,Nurse Practitioner,363LP0200X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Pediatrics"
50,Nurse Practitioner,363LP0222X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Pediatrics, Critical Care"
50,Nurse Practitioner,363LP1700X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Perinatal"
50,Nurse Practitioner,363LP2300X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Primary Care"
50,Nurse Practitioner,363LP0808X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Psychiatric/Mental Health"
50,Nurse Practitioner,363LS0200X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, School"
50,Nurse Practitioner,363LW0102X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Women’s Health"
51,Medical Supply Company with Orthotist,335E00000X,Suppliers/Prosthetic/Orthotic Supplier
52,Medical Supply Company with Prosthetist,335E00000X,Suppliers/Prosthetic/Orthotic Supplier
53,Medical Supply Company with Orthotist-Prosthetist,335E00000X,Suppliers/Prosthetic/Orthotic Supplier
54,Other Medical Supply Company,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies
55,Individual Certified Orthotist,222Z00000X,"Respiratory, Developmental, Rehabilitative, and Restorative Service Providers/Orthotist"
56,Individual Certified Prosthetist,"224P00000X
229N00000X","Respiratory, Developmental, Rehabilitative, and Restorative Service Providers/Prosthetist
Respiratory, Developmental, Rehabilitative, and Restorative Service Providers/Anaplastologist"
57,Individual Certified Prosthetist-Orthotist,222Z00000X,"Respiratory, Developmental, Rehabilitative, and Restorative Service Providers/Orthotist"
57,Individual Certified Prosthetist-Orthotist,229N00000X,"Respiratory, Developmental, Rehabilitative, and Restorative Service Providers/Anaplastologist"
57,Individual Certified Prosthetist-Orthotist,224P00000X,"Respiratory, Developmental, Rehabilitative, and Restorative Service Providers/Prosthetist"
58,Medical Supply Company with Pharmacist,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies
58,Medical Supply Company with Pharmacist,333600000X,Suppliers/Pharmacy
58,Medical Supply Company with Pharmacist,3336C0002X,"Suppliers/Pharmacy, Clinic Pharmacy"
58,Medical Supply Company with Pharmacist,3336C0003X,"Suppliers/Pharmacy, Community/Retail Pharmacy"
58,Medical Supply Company with Pharmacist,3336C0004X,"Suppliers/Pharmacy, Compounding Pharmacy"
58,Medical Supply Company with Pharmacist,3336H0001X,"Suppliers/Pharmacy, Home Infusion Therapy Pharmacy"
58,Medical Supply Company with Pharmacist,3336I0012X,"Suppliers/Pharmacy, Institutional Pharmacy"
58,Medical Supply Company with Pharmacist,3336L0003X,"Suppliers/Pharmacy, Long-term Care Pharmacy"
58,Medical Supply Company with Pharmacist,3336M0002X,"Suppliers/Pharmacy, Mail Order Pharmacy"
58,Medical Supply Company with Pharmacist,3336M0003X,"Suppliers/Pharmacy, Managed Care Organization Pharmacy"
58,Medical Supply Company with Pharmacist,3336N0007X,"Suppliers/Pharmacy, Nuclear Pharmacy"
58,Medical Supply Company with Pharmacist,3336S0011X,"Suppliers/Pharmacy, Specialty Pharmacy"
59,Ambulance Service Provider,341600000X,Transportation Services/Ambulance
59,Ambulance Service Provider,3416A0800X,"Transportation Services/Ambulance, Air Transport"
59,Ambulance Service Provider,3416L0300X,"Transportation Services/Ambulance, Land Transport"
59,Ambulance Service Provider,3416S0300X,"Transportation Services/Ambulance, Water Transport"
60,Public Health or Welfare Agency,251K00000X,Agencies/Public Health or Welfare
61,Voluntary Health or Charitable Agency[1],251V00000X,Agencies/Voluntary or Charitable
62,"Psychologist, Clinical",103T00000X,Behavioral Health & Social Service Providers/Psychologist
62,"Psychologist, Clinical",103TA0400X,"Behavioral Health & Social Service Providers/Psychologist, Addiction (Substance Abuse Disorder)"
62,"Psychologist, Clinical",103TA0700X,"Behavioral Health & Social Service Providers/Psychologist, Adult Development & Aging"
62,"Psychologist, Clinical",103TC0700X,"Behavioral Health & Social Service Providers/Psychologist, Clinical"
62,"Psychologist, Clinical",103TC2200X,"Behavioral Health & Social Service Providers/Psychologist, Clinical Child & Adolescent"
62,"Psychologist, Clinical",103TB0200X,"Behavioral Health & Social Service Providers/Psychologist, Cognitive & Behavioral"
62,"Psychologist, Clinical",103TC1900X,"Behavioral Health & Social Service Providers/Psychologist, Counseling"
62,"Psychologist, Clinical",103TE1000X,"Behavioral Health & Social Service Providers/Psychologist, Educational"
62,"Psychologist, Clinical",103TE1100X,"Behavioral Health & Social Service Providers/Psychologist, Exercise & Sports"
62,"Psychologist, Clinical",103TF0000X,"Behavioral Health & Social Service Providers/Psychologist, Family"
62,"Psychologist, Clinical",103TF0200X,"Behavioral Health & Social Service Providers/Psychologist, Forensic"
62,"Psychologist, Clinical",103TP2701X,"Behavioral Health & Social Service Providers/Psychologist, Group Psychotherapy"
62,"Psychologist, Clinical",103TH0004X,"Behavioral Health & Social Service Providers/Psychologist, Health"
62,"Psychologist, Clinical",103TH0100X,"Behavioral Health & Social Service Providers/Psychologist, Health Service"
62,"Psychologist, Clinical",103TM1700X,"Behavioral Health & Social Service Providers/Psychologist, Men & Masculinity"
62,"Psychologist, Clinical",103TM1800X,"Behavioral Health & Social Service Providers/Psychologist, Mental Retardation & Developmental Disabilities"
62,"Psychologist, Clinical",103TP0016X,"Behavioral Health & Social Service Providers/Psychologist, Prescribing (Medical)"
62,"Psychologist, Clinical",103TP0814X,"Behavioral Health & Social Service Providers/Psychologist, Psychoanalysis"
62,"Psychologist, Clinical",103TP2700X,"Behavioral Health & Social Service Providers/Psychologist, Psychotherapy"
62,"Psychologist, Clinical",103TR0400X,"Behavioral Health & Social Service Providers/Psychologist, Rehabilitation"
62,"Psychologist, Clinical",103TS0200X,"Behavioral Health & Social Service Providers/Psychologist, School"
62,"Psychologist, Clinical",103TW0100X,"Behavioral Health & Social Service Providers/Psychologist, Women"
62,"Psychologist, Clinical",106E00000X,Behavioral Health & Social Service Providers/Assistant Behavior Analyst
62,"Psychologist, Clinical",106S00000X,Behavioral Health & Social Service Providers/Technician
63,Portable X-Ray Supplier,335V00000X,Suppliers/Portable X-Ray Supplier
64,Audiologist,231H00000X,"Speech, Language and Hearing Service Providers/Audiologist"
64,Audiologist,231HA2400X,"Speech, Language and Hearing Service Providers/Audiologist, Assistive Technology Practitioner"
65,Physical Therapist in Private Practice,225100000X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist"
65,Physical Therapist in Private Practice,2251C2600X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Cardiopulmonary"
65,Physical Therapist in Private Practice,2251E1300X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Electrophysiology, Clinical"
65,Physical Therapist in Private Practice,2251E1200X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Ergonomics"
65,Physical Therapist in Private Practice,2251G0304X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Geriatrics"
65,Physical Therapist in Private Practice,2251H1200X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Hand"
65,Physical Therapist in Private Practice,2251H1300X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Human Factors"
65,Physical Therapist in Private Practice,2251N0400X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Neurology"
65,Physical Therapist in Private Practice,2251X0800X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Orthopedic"
65,Physical Therapist in Private Practice,2251P0200X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Pediatrics"
65,Physical Therapist in Private Practice,2251S0007X,"Respiratory, Rehabilitative & Restorative Service Providers/Physical Therapist, Sports"
66,Physician/Rheumatology,207RR0500X,"Allopathic & Osteopathic Physicians/Internal Medicine, Rheumatology"
67,Occupational Therapist in Private Practice,225X00000X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist"
67,Occupational Therapist in Private Practice,225XR0403X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Driving and Community Mobility"
67,Occupational Therapist in Private Practice,225XE0001X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Environmental Modification"
67,Occupational Therapist in Private Practice,225XE1200X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Ergonomics"
67,Occupational Therapist in Private Practice,225XF0002X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Feeding, Eating &Swallowing"
67,Occupational Therapist in Private Practice,225XG0600X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Gerontology"
67,Occupational Therapist in Private Practice,225XH1200X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Hand"
67,Occupational Therapist in Private Practice,225XH1300X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Human Factors"
67,Occupational Therapist in Private Practice,225XL0004X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Low Vision"
67,Occupational Therapist in Private Practice,225XM0800X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Mental Health"
67,Occupational Therapist in Private Practice,225XN1300X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Neurorehabilitation"
67,Occupational Therapist in Private Practice,225XP0200X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Pediatrics"
67,Occupational Therapist in Private Practice,225XP0019X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Physical Rehabilitation"
68,"Psychologist, Clinical",103TC0700X,"Behavioral Health & Social Service Providers/Psychologist, Clinical"
69,Clinical Laboratory,291U00000X,Laboratories/Clinical Medical Laboratory
70,Clinic or Group Practice,261QM1300X,"Ambulatory Health Care Facilities/Clinic/Center, Multi-Specialty"
70,Clinic or Group Practice,261QP2000X,"Ambulatory Health Care Facilities/Clinic/Center, Physical Therapy"
70,Clinic or Group Practice,193200000X,Group/Multi-Specialty
70,Clinic or Group Practice,261Q00000X,"Ambulatory Health Care Facilities/Clinic/Center, Multi-Specialty"
70,Clinic or Group Practice,193400000X,Group/Single-Specialty
71,Registered Dietitian or Nutrition Professional,133V00000X,"Dietary & Nutritional Service Providers/Dietician, Registered"
71,Registered Dietitian or Nutrition Professional,133VN1006X,"Dietary & Nutritional Service Providers/Dietician, Registered, Nutrition, Metabolic"
71,Registered Dietitian or Nutrition Professional,133VN1004X,"Dietary & Nutritional Service Providers/Dietician, Registered, Nutrition, Pediatric"
71,Registered Dietitian or Nutrition Professional,133VN1005X,"Dietary & Nutritional Service Providers/Dietician, Registered, Nutrition, Renal"
72,Physician/Pain Management,208VP0000X,"Allopathic & Osteopathic Physicians/Pain Medicine, Pain Medicine"
73,Mass Immunizer Roster Biller[2],,
74,Radiation Therapy Center,261QR0200X,"Ambulatory Health Care Facilities/Clinic/Center, Radiology"
75,Slide Preparation Facility,247200000X,"Technologists, Technicians & Other Technical Service Providers/Technician, Other"
76,Physician/Peripheral Vascular Disease,2086S0129X,"Allopathic & Osteopathic Physicians/Surgery, Vascular Surgery"
77,Physician/Vascular Surgery,2086S0129X,"Allopathic & Osteopathic Physicians/Surgery, Vascular Surgery"
78,Physician/Cardiac Surgery,208G00000X,Allopathic & Osteopathic Physicians/Thoracic Surgery (Cardiothoracic Vascular Surgery)
79,Physician/Addiction Medicine,207L00000X,"Allopathic & Osteopathic Physicians/Anesthesiology, Addiction Medicine"
79,Physician/Addiction Medicine,207QA0401X,"Allopathic & Osteopathic Physicians/Family Medicine, Addiction Medicine"
79,Physician/Addiction Medicine,207RA0401X,"Allopathic & Osteopathic Physicians/Internal Medicine, Addiction Medicine"
79,Physician/Addiction Medicine,2084A0401X,"Allopathic & Osteopathic Physicians/Psychiatry & Neurology, Addiction Medicine"
80,Licensed Clinical Social Worker,1041C0700X,"Behavioral Health & Social Service Providers/Social Worker, Clinical"
81,Physician/Critical Care (Intensivists),207RC0200X,"Allopathic & Osteopathic Physicians/Internal Medicine, Critical Care Medicine"
82,Physician/Hematology,207RH0000X,"Allopathic & Osteopathic Physicians/Internal Medicine, Hematology"
83,Physician/Hematology-Oncology,207RH0003X,"Allopathic & Osteopathic Physicians/Internal Medicine, Hematology & Oncology"
84,Physician/Preventive Medicine,2083A0100X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Aerospace Medicine"
84,Physician/Preventive Medicine,2083T0002X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Medical Toxicology"
84,Physician/Preventive Medicine,2083X0100X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Occupational Medicine"
84,Physician/Preventive Medicine,2083P0500X,"Allopathic & Osteopathic Physicians/Preventive Medicine,  Preventive Medicine/Occupational Environmental Medicine"
84,Physician/Preventive Medicine,2083P0901X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Public Health & General Preventive Medicine"
84,Physician/Preventive Medicine,2083S0010X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Sports Medicine"
84,Physician/Preventive Medicine,2083P0011X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Undersea and Hyperbaric Medicine"
85,Physician/Maxillofacial Surgery,204E00000X,Allopathic & Osteopathic Physicians/Oral and Maxillofacial Surgery
86,Physician/Neuropsychiatry,2084A0401X,Allopathic & Osteopathic Physicians/ Psychiatry & Neurology
86,Physician/Neuropsychiatry,2084P0802X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Addiction Psychiatry"
86,Physician/Neuropsychiatry,2084B0002X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Bariatric Medicine"
86,Physician/Neuropsychiatry,2084P0804X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Child & Adolescent Psychiatry"
86,Physician/Neuropsychiatry,2084N0600X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Clinical Neurophysiology"
86,Physician/Neuropsychiatry,2084D0003X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Diagnostic Neuroimaging"
86,Physician/Neuropsychiatry,2084F0202X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Forensic Psychiatry"
86,Physician/Neuropsychiatry,2084P0805X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Geriatric Psychiatry"
86,Physician/Neuropsychiatry,2084H0002X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Hospice & Palliative Medicine"
86,Physician/Neuropsychiatry,2084P0005X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Neurodevelopmental Disabilities"
86,Physician/Neuropsychiatry,2084N0400X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Neurology"
86,Physician/Neuropsychiatry,2084N0402X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Neurology with Special Qualifications in Child Neurology"
86,Physician/Neuropsychiatry,2084N0008X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Neuromuscular Medicine"
86,Physician/Neuropsychiatry,2084P2900X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Pain Medicine"
86,Physician/Neuropsychiatry,2084P0800X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Psychiatry"
86,Physician/Neuropsychiatry,2084P0015X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Psychosomatic Medicine"
86,Physician/Neuropsychiatry,2084S0012X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Sleep Medicine"
86,Physician/Neuropsychiatry,2084S0010X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Sports Medicine"
86,Physician/Neuropsychiatry,2084V0102X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Vascular Neurology"
87[3],All Other Suppliers,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies
88,Unknown Supplier/Provider Specialty[4],,
89,Certified Clinical Nurse Specialist,364S00000X,Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist
89,Certified Clinical Nurse Specialist,364SA2100X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Acute Care"
89,Certified Clinical Nurse Specialist,364SA2200X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Adult Health"
89,Certified Clinical Nurse Specialist,364SC2300X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Chronic Care"
89,Certified Clinical Nurse Specialist,364SC1501X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Community Health/Public Health"
89,Certified Clinical Nurse Specialist,364SC0200X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Critical Care Medicine"
89,Certified Clinical Nurse Specialist,364SE0003X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Emergency"
89,Certified Clinical Nurse Specialist,364SE1400X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Ethics"
89,Certified Clinical Nurse Specialist,364SF0001X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Family Health"
89,Certified Clinical Nurse Specialist,364SG0600X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Gerontology"
89,Certified Clinical Nurse Specialist,364SH1100X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Holistic"
89,Certified Clinical Nurse Specialist,364SH0200X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Home Health"
89,Certified Clinical Nurse Specialist,364SI0800X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Informatics"
89,Certified Clinical Nurse Specialist,364SL0600X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Long-term Care"
89,Certified Clinical Nurse Specialist,364SM0705X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Medical-Surgical"
89,Certified Clinical Nurse Specialist,364SN0000X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Neonatal"
89,Certified Clinical Nurse Specialist,364SN0800X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Neuroscience"
89,Certified Clinical Nurse Specialist,364SX0106X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Occupational Health"
89,Certified Clinical Nurse Specialist,364SX0200X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Oncology"
89,Certified Clinical Nurse Specialist,364SX0204X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Oncology, Pediatrics"
89,Certified Clinical Nurse Specialist,364SP0200X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Pediatrics"
89,Certified Clinical Nurse Specialist,364SP1700X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Perinatal"
89,Certified Clinical Nurse Specialist,364SP2800X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Perioperative"
89,Certified Clinical Nurse Specialist,364SP0808X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health"
89,Certified Clinical Nurse Specialist,364SP0809X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health, Adult"
89,Certified Clinical Nurse Specialist,364SP0807X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health, Child & Adolescent"
89,Certified Clinical Nurse Specialist,364SP0810X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health, Child & Family"
89,Certified Clinical Nurse Specialist,364SP0811X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health, Chronically Ill"
89,Certified Clinical Nurse Specialist,364SP0812X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health, Community"
89,Certified Clinical Nurse Specialist,364SP0813X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health, Geropsychiatric"
89,Certified Clinical Nurse Specialist,364SR0400X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Rehabilitation"
89,Certified Clinical Nurse Specialist,364SS0200X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, School"
89,Certified Clinical Nurse Specialist,364ST0500X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Transplantation"
89,Certified Clinical Nurse Specialist,364SW0102X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Women’s Health"
90,Physician/Medical Oncology,207RX0202X,"Allopathic & Osteopathic Physicians/Internal Medicine, Medical Oncology"
91,Physician/Surgical Oncology,2086X0206X,"Allopathic & Osteopathic Physicians/Surgery, Surgical Oncology"
92,Physician/Radiation Oncology,2085R0001X,"Allopathic & Osteopathic Physicians/Radiology, Radiation Oncology"
93,Physician/Emergency Medicine,207P00000X,Allopathic & Osteopathic Physicians/Emergency Medicine
93,Physician/Emergency Medicine,207PE0004X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Emergency Medical Services"
93,Physician/Emergency Medicine,207PH0002X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Hospice and Palliative Medicine"
93,Physician/Emergency Medicine,207PT0002X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Medical Toxicology"
93,Physician/Emergency Medicine,207PP0204X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Pediatric Emergency Medicine"
93,Physician/Emergency Medicine,207PS0010X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Sports Medicine"
93,Physician/Emergency Medicine,207PE0005X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Undersea and Hyperbaric Medicine"
94,Physician/Interventional Radiology,2085R0204X,"Allopathic & Osteopathic Physicians/Radiology, Vascular and Interventional Radiology"
94,Physician/Interventional Radiology,2085H0002X,Hospice & Palliative Medicine
95,Advance Diagnostic Imaging,,
96[5],Optician,156FX1800X,"Eye & Vision Service Providers/Technician/Technologist, Optician"
97,Physician Assistant,363A00000X,Physician Assistants & Advanced Practice Nursing Providers/Physician Assistant
97,Physician Assistant,363AM0700X,"Physician Assistants & Advanced Practice Nursing Providers/Physician Assistant, Medical"
97,Physician Assistant,363AS0400X,"Physician Assistants & Advanced Practice Nursing Providers/Physician Assistant, Surgical"
98,Physician/Gynecological Oncology,207VX0201X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Gynecologic Oncology"
99,Physician/Undefined Physician type[6],208D00000X,Allopathic & Osteopathic Physicians/General Practice
A0[7],Hospital-General,282N00000X,Hospitals/General Acute Care Hospital
A0[7],Hospital-Acute Care,282N00000X,Hospitals/General Acute Care Hospital
A0[7],Hospital-Children’s (PPS excluded),282NC2000X,"Hospitals/General Acute Care Hospital, Children"
A0[7],Hospital-Long-Term (PPS excluded),282E00000X,Hospitals/Long Term Care Hospital
A0[7],Hospital-Psychiatric (PPS excluded),283Q00000X,Hospitals/Psychiatric Hospital
A0[7],Hospital-Rehabilitation (PPS excluded),283X00000X,Hospitals/Rehabilitation Hospital
A0[7],Hospital-Short-Term (General and Specialty),282N00000X,Hospitals/General Acute Care Hospital
A0[7],Hospital-Short-Term (General and Specialty),2843000000X,Hospitals/Special(ty) Hospital
A0[7],Hospital-Swing Bed Approved,275N00000X,Hospital Units/Medicare Defined Swing Bed Unit
A0[7],Hospital-Psychiatric Unit,273R00000X,Hospital Units/Psychiatric Unit
A0[7],Hospital-Rehabilitation Unit,273Y00000X,Hospital Units/Rehabilitation Unit
A0[7],"Hospital-Specialty Hospital (cardiac, orthopedic, surgical)",284300000X,Hospitals/Special(ty) Hospital
A0[7],Critical Access Hospital,282NC0060X,"Hospitals/General Acute Care Hospital, Critical Access"
A1[8],Skilled Nursing Facility,314000000X,Nursing and Custodial Care Facilities/Skilled Nursing Facility
A2[9],Intermediate Care Nursing Facility,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies
A3[10],Other Nursing Facility,313M00000X,Nursing and Custodial Care Facilities/Nursing Facility
A4[11],Home Health Agency,251E00000X,Agencies/Home Health
A4[11],Home Health Agency (Subunit),251E00000X,Agencies/Home Health
A5,Pharmacy,333600000X,Suppliers/Pharmacy
A5,Pharmacy,3336C0002X,"Suppliers/Pharmacy, Clinic Pharmacy"
A5,Pharmacy,3336C0003X,"Suppliers/Pharmacy, Community/Retail Pharmacy"
A5,Pharmacy,3336C0004X,"Suppliers/Pharmacy, Compounding Pharmacy"
A5,Pharmacy,3336H0001X,"Suppliers/Pharmacy, Home Infusion Therapy Pharmacy"
A5,Pharmacy,3336I0012X,"Suppliers/Pharmacy, Institutional Pharmacy"
A5,Pharmacy,3336L0003X,"Suppliers/Pharmacy, Long-term Care Pharmacy"
A5,Pharmacy,3336M0002X,"Suppliers/Pharmacy, Mail Order Pharmacy"
A5,Pharmacy,3336M0003X,"Suppliers/Pharmacy, Managed Care Organization Pharmacy"
A5,Pharmacy,3336N0007X,"Suppliers/Pharmacy, Nuclear Pharmacy"
A5,Pharmacy,3336S0011X,"Suppliers/Pharmacy, Specialty Pharmacy"
A5,Pharmacy,1835C0205X,"Suppliers/Pharmacy, Critical Care"
A5,Pharmacy,1835P0200X,"Suppliers/Pharmacy, Pediatrics"
A6,Medical Supply Company with Respiratory Therapist,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies
A7,Department Store,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies
A8,Grocery Store,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies
A9[12],Indian Health Service facility[13],,
B1,Oxygen supplier,332BX2000X,"Suppliers/Durable Medical Equipment & Medical Supplies, Oxygen Equipment & Supplies"
B2,Pedorthic personnel,222Z00000X,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers/Orthotist"
B2,Pedorthic personnel,224P00000X,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers/Prosthetist"
